player,team,playedMatches,goals,assists,penalties
"{'id': 192070, 'name': 'Kevin Viveros', 'firstName': 'Kevin', 'lastName': 'Viveros', 'dateOfBirth': '2000-04-26', 'nationality': 'Colombia', 'section': 'Offence', 'position': None, 'shirtNumber': None, 'lastUpdated': '2023-08-22T11:53:03Z'}","{'id': 1768, 'name': 'CA Paranaense', 'shortName': 'Paranaense', 'tla': 'CAP', 'crest': 'https://crests.football-data.org/1768.png', 'address': 'Estrada do Ganchinho 1451, Umbará Curitiba, PR 81930-160', 'website': 'http://www.atleticoparanaense.com', 'founded': 1924, 'clubColors': 'Black / White / Red', 'venue': 'Estádio Joaquim Américo Guimarães', 'lastUpdated': '2022-04-06T13:14:06Z'}",17,11,1.0,2.0
"{'id': 37833, 'name': 'Carlos Vinícius', 'firstName': '', 'lastName': 'Carlos Vinícius', 'dateOfBirth': '1995-03-25', 'nationality': 'Brazil', 'section': 'Centre-Forward', 'position': None, 'shirtNumber': None, 'lastUpdated': '2024-08-23T09:25:15Z'}","{'id': 1767, 'name': 'Grêmio FBPA', 'shortName': 'Grêmio', 'tla': 'FBP', 'crest': 'https://crests.football-data.org/1767.png', 'address': 'Avenida Padre Leopoldo Bretano, 110, Humaitá Porto Alegre, RS 90250-590', 'website': 'http://www.gremio.net', 'founded': 1903, 'clubColors': 'Blue / Black / White', 'venue': 'Arena do Grêmio', 'lastUpdated': '2023-02-18T08:42:52Z'}",18,10,,1.0
"{'id': 1077, 'name': 'Pedro', 'firstName': '', 'lastName': 'Pedro', 'dateOfBirth': '1997-06-20', 'nationality': 'Brazil', 'section': 'Offence', 'position': None, 'shirtNumber': None, 'lastUpdated': '2023-07-30T23:15:48Z'}","{'id': 1783, 'name': 'CR Flamengo', 'shortName': 'Flamengo', 'tla': 'FLA', 'crest': 'https://crests.football-data.org/1783.png', 'address': 'null Rio de Janeiro, RJ null', 'website': 'https://www.flamengo.com.br/pagina-inicial-basquete', 'founded': 1919, 'clubColors': 'Red / Black / White', 'venue': 'Estadio Jornalista Mário Filho', 'lastUpdated': '2022-04-06T13:13:43Z'}",17,10,4.0,
"{'id': 157533, 'name': 'John Kennedy', 'firstName': '', 'lastName': 'John Kennedy', 'dateOfBirth': '2002-05-18', 'nationality': 'Brazil', 'section': 'Centre-Forward', 'position': None, 'shirtNumber': None, 'lastUpdated': '2025-02-08T15:38:40Z'}","{'id': 1765, 'name': 'Fluminense FC', 'shortName': 'Fluminense', 'tla': 'FLU', 'crest': 'https://crests.football-data.org/1765.png', 'address': 'Rua Álvaro Chaves 41, Bairro Laranjeiras Rio de Janeiro, RJ 22231-220', 'website': 'http://www.fluminense.com.br', 'founded': 1902, 'clubColors': 'Maroon / Green / White', 'venue': 'Estadio Jornalista Mário Filho', 'lastUpdated': '2024-07-29T17:24:37Z'}",19,9,1.0,
"{'id': 169022, 'name': 'Breno Lopes', 'firstName': '', 'lastName': 'Breno Lopes', 'dateOfBirth': '1996-01-24', 'nationality': 'Brazil', 'section': 'Offence', 'position': None, 'shirtNumber': None, 'lastUpdated': '2023-07-30T23:15:44Z'}","{'id': 4241, 'name': 'Coritiba FBC', 'shortName': 'Coritiba', 'tla': 'COR', 'crest': 'https://crests.football-data.org/4241.png', 'address': 'Rua Ubaldino do Amaral 37, Alto da Glória Curitiba, PR 80060-195', 'website': 'http://www.coritiba.com.br', 'founded': 1909, 'clubColors': 'Green / White', 'venue': 'Estádio Major Antônio Couto Pereira', 'lastUpdated': '2023-02-18T08:43:33Z'}",15,8,1.0,
"{'id': 149704, 'name': 'Danilo dos Santos de Oliveira', 'firstName': '', 'lastName': 'Danilo', 'dateOfBirth': '2001-04-29', 'nationality': 'Brazil', 'section': 'Midfield', 'position': None, 'shirtNumber': None, 'lastUpdated': '2026-06-01T11:16:32Z'}","{'id': 1770, 'name': 'Botafogo FR', 'shortName': 'Botafogo', 'tla': 'BOT', 'crest': 'https://crests.football-data.org/1770.png', 'address': 'Avenida Venceslau Brás 72, Bairro Botafago Rio de Janeiro, RJ 22290-140', 'website': 'http://www.botafogo.com.br', 'founded': 1904, 'clubColors': 'Black / White', 'venue': 'Estádio Nilton Santos', 'lastUpdated': '2023-02-18T08:43:47Z'}",12,7,2.0,
"{'id': 1723, 'name': 'Arthur Cabral', 'firstName': '', 'lastName': 'Arthur Cabral', 'dateOfBirth': '1998-04-25', 'nationality': 'Brazil', 'section': 'Centre-Forward', 'position': None, 'shirtNumber': None, 'lastUpdated': '2024-11-01T22:50:30Z'}","{'id': 1770, 'name': 'Botafogo FR', 'shortName': 'Botafogo', 'tla': 'BOT', 'crest': 'https://crests.football-data.org/1770.png', 'address': 'Avenida Venceslau Brás 72, Bairro Botafago Rio de Janeiro, RJ 22290-140', 'website': 'http://www.botafogo.com.br', 'founded': 1904, 'clubColors': 'Black / White', 'venue': 'Estádio Nilton Santos', 'lastUpdated': '2023-02-18T08:43:47Z'}",17,7,1.0,
"{'id': 140873, 'name': 'Luciano Juba', 'firstName': '', 'lastName': 'Luciano Juba', 'dateOfBirth': '1999-08-29', 'nationality': 'Brazil', 'section': 'Defence', 'position': None, 'shirtNumber': None, 'lastUpdated': '2023-07-31T10:01:14Z'}","{'id': 1777, 'name': 'EC Bahia', 'shortName': 'Bahia', 'tla': 'BAH', 'crest': 'https://crests.football-data.org/1777.png', 'address': 'Rua Antônio Fernandes S/N, Jardim das Margaridas Salvador, BA 41502-590', 'website': 'http://www.esporteclubebahia.com.br', 'founded': 1931, 'clubColors': 'Blue / White / Red', 'venue': 'Estádio Governador Roberto Santos', 'lastUpdated': '2024-10-28T10:09:10Z'}",15,7,1.0,2.0
"{'id': 1327, 'name': 'Gabriel Barbosa', 'firstName': '', 'lastName': 'Gabriel Barbosa', 'dateOfBirth': '1996-08-30', 'nationality': 'Brazil', 'section': 'Offence', 'position': None, 'shirtNumber': None, 'lastUpdated': '2023-07-30T23:15:48Z'}","{'id': 6685, 'name': 'Santos FC', 'shortName': 'Santos', 'tla': 'SAN', 'crest': 'https://crests.football-data.org/6685.png', 'address': 'Rua Princesa Isabel S/N, Vila Belmiro Santos, SP 11075-501', 'website': 'http://santosfc.com.br', 'founded': 1912, 'clubColors': 'Black / White', 'venue': 'Estádio Urbano Caldeira', 'lastUpdated': '2023-02-18T08:43:18Z'}",13,7,2.0,1.0
"{'id': 170698, 'name': 'José Manuel López', 'firstName': 'José Manuel', 'lastName': 'López', 'dateOfBirth': '2000-12-06', 'nationality': 'Argentina', 'section': 'Offence', 'position': None, 'shirtNumber': None, 'lastUpdated': '2026-06-01T11:16:29Z'}","{'id': 1769, 'name': 'SE Palmeiras', 'shortName': 'Palmeiras', 'tla': 'PAL', 'crest': 'https://crests.football-data.org/1769.png', 'address': 'Rua Palestra Italia nº 214, Perdizes São Paulo, SP 05005-030', 'website': 'http://www.palmeiras.com.br', 'founded': 1914, 'clubColors': 'Green / White', 'venue': 'Allianz Parque', 'lastUpdated': '2022-04-06T13:14:55Z'}",17,6,3.0,
