id,area,name,code,type,emblem,plan,currentSeason,numberOfAvailableSeasons,lastUpdated
2013,"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}",Campeonato Brasileiro Série A,BSA,LEAGUE,https://crests.football-data.org/bsa.png,TIER_ONE,"{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",10,2024-09-13T16:55:53Z
2016,"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}",Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,TIER_ONE,"{'id': 2509, 'startDate': '2026-08-14', 'endDate': '2027-05-01', 'currentMatchday': 1, 'winner': None}",10,2026-05-11T15:45:39Z
2021,"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}",Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,TIER_ONE,"{'id': 2502, 'startDate': '2026-08-21', 'endDate': '2027-05-30', 'currentMatchday': 1, 'winner': None}",128,2026-06-19T12:36:02Z
2001,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",UEFA Champions League,CL,CUP,https://crests.football-data.org/CL.png,TIER_ONE,"{'id': 2454, 'startDate': '2025-09-16', 'endDate': '2026-05-30', 'currentMatchday': 8, 'winner': None}",46,2026-05-31T11:41:29Z
2018,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",European Championship,EC,CUP,https://crests.football-data.org/ec.png,TIER_ONE,"{'id': 1537, 'startDate': '2024-06-14', 'endDate': '2024-07-14', 'currentMatchday': 7, 'winner': {'id': 760, 'name': 'Spain', 'shortName': 'Spain', 'tla': 'ESP', 'crest': 'https://crests.football-data.org/760.svg', 'address': 'Ramón y Cajal, s/n Las Rozas 28230', 'website': 'http://www.rfef.es', 'founded': 1909, 'clubColors': 'Red / Blue / Yellow', 'venue': None, 'lastUpdated': '2026-06-01T09:41:19Z'}}",17,2024-09-13T17:04:30Z
2015,"{'id': 2081, 'name': 'France', 'code': 'FRA', 'flag': 'https://crests.football-data.org/773.svg'}",Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,TIER_ONE,"{'id': 2497, 'startDate': '2026-08-22', 'endDate': '2027-05-29', 'currentMatchday': 1, 'winner': None}",83,2026-06-21T10:47:12Z
2002,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,TIER_ONE,"{'id': 2522, 'startDate': '2026-08-28', 'endDate': '2027-05-22', 'currentMatchday': 1, 'winner': None}",64,2024-09-13T16:48:00Z
2019,"{'id': 2114, 'name': 'Italy', 'code': 'ITA', 'flag': 'https://crests.football-data.org/784.svg'}",Serie A,SA,LEAGUE,https://crests.football-data.org/c111.png,TIER_ONE,"{'id': 2494, 'startDate': '2026-08-23', 'endDate': '2027-05-30', 'currentMatchday': 1, 'winner': None}",95,2026-06-14T15:47:28Z
2003,"{'id': 2163, 'name': 'Netherlands', 'code': 'NLD', 'flag': 'https://crests.football-data.org/8601.svg'}",Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,TIER_ONE,"{'id': 2493, 'startDate': '2026-08-07', 'endDate': '2027-05-23', 'currentMatchday': 1, 'winner': None}",71,2026-06-14T15:50:44Z
2017,"{'id': 2187, 'name': 'Portugal', 'code': 'POR', 'flag': 'https://crests.football-data.org/765.svg'}",Primeira Liga,PPL,LEAGUE,https://crests.football-data.org/PPL.png,TIER_ONE,"{'id': 2526, 'startDate': '2026-08-08', 'endDate': '2027-05-16', 'currentMatchday': 1, 'winner': None}",78,2024-09-13T16:54:08Z
2152,"{'id': 2220, 'name': 'South America', 'code': 'SAM', 'flag': 'https://crests.football-data.org/CLI.svg'}",Copa Libertadores,CLI,CUP,https://crests.football-data.org/CLI.svg,TIER_FOUR,"{'id': 2466, 'startDate': '2026-02-04', 'endDate': '2026-11-28', 'currentMatchday': 6, 'winner': None}",6,2026-05-20T00:07:05Z
2014,"{'id': 2224, 'name': 'Spain', 'code': 'ESP', 'flag': 'https://crests.football-data.org/760.svg'}",Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,TIER_ONE,"{'id': 2518, 'startDate': '2026-08-16', 'endDate': '2027-05-30', 'currentMatchday': 1, 'winner': None}",95,2024-09-13T16:52:33Z
2000,"{'id': 2267, 'name': 'World', 'code': 'INT', 'flag': None}",FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,TIER_ONE,"{'id': 2398, 'startDate': '2026-06-11', 'endDate': '2026-07-19', 'currentMatchday': 3, 'winner': None}",23,2026-06-24T18:07:13Z
