id,startDate,endDate,currentMatchday,winner
2474,2026-01-28,2026-12-02,19.0,
2371,2025-03-29,2025-12-21,38.0,
2257,2024-04-13,2024-12-08,38.0,
1557,2023-04-15,2023-12-03,37.0,
1377,2022-04-10,2022-11-13,38.0,
726,2021-05-30,2021-12-05,37.0,
589,2020-08-09,2021-02-24,38.0,"{'id': 1783, 'name': 'CR Flamengo', 'shortName': 'Flamengo', 'tla': 'FLA', 'crest': 'https://crests.football-data.org/1783.png', 'address': 'null Rio de Janeiro, RJ null', 'website': 'https://www.flamengo.com.br/pagina-inicial-basquete', 'founded': 1919, 'clubColors': 'Red / Black / White', 'venue': 'Estadio Jornalista Mário Filho', 'lastUpdated': '2022-04-06T13:13:43Z'}"
460,2019-04-28,2019-12-08,38.0,"{'id': 1783, 'name': 'CR Flamengo', 'shortName': 'Flamengo', 'tla': 'FLA', 'crest': 'https://crests.football-data.org/1783.png', 'address': 'null Rio de Janeiro, RJ null', 'website': 'https://www.flamengo.com.br/pagina-inicial-basquete', 'founded': 1919, 'clubColors': 'Red / Black / White', 'venue': 'Estadio Jornalista Mário Filho', 'lastUpdated': '2022-04-06T13:13:43Z'}"
15,2018-04-14,2018-12-02,38.0,"{'id': 1769, 'name': 'SE Palmeiras', 'shortName': 'Palmeiras', 'tla': 'PAL', 'crest': 'https://crests.football-data.org/1769.png', 'address': 'Rua Palestra Italia nº 214, Perdizes São Paulo, SP 05005-030', 'website': 'http://www.palmeiras.com.br', 'founded': 1914, 'clubColors': 'Green / White', 'venue': 'Allianz Parque', 'lastUpdated': '2022-04-06T13:14:55Z'}"
459,2017-05-13,2017-12-03,,"{'id': 1779, 'name': 'SC Corinthians Paulista', 'shortName': 'Corinthians', 'tla': 'COR', 'crest': 'https://crests.football-data.org/1779.png', 'address': 'Rua São Jorge 777, Tatuapé São Paulo, SP 03087-000', 'website': 'http://www.corinthians.com.br', 'founded': 1910, 'clubColors': 'Black / White', 'venue': 'Neo Química Arena', 'lastUpdated': '2024-07-29T17:24:47Z'}"
